,stock,model_name,layer,unit,dropout,epoch,batch_size,timestep,mse,mae,rmse,r2
27,untr,untr_5_100_0_100_8.h5,5,100,0,100,8,7,0.0106987576551649,0.0766734600415448,0.1034347990531474,0.8015228504816565
28,untr,untr_5_200_0_100_8.h5,5,200,0,100,8,7,0.0106843327509571,0.0770162699111517,0.1033650460792097,0.7957228867712672
29,unvr,unvr_1_100_0.2_100_32.h5,1,100,0.2,100,32,30,0.0047644176230471,0.0471703160479895,0.0690247609416156,0.9369437203011496
30,unvr,unvr_1_100_0.2_100_8.h5,1,100,0.2,100,8,30,0.0040934249644929,0.0478187841602168,0.0639798793722916,0.9458241972242888
31,unvr,unvr_1_100_0.2_200_8.h5,1,100,0.2,200,8,30,0.0045393583716307,0.046774872056034,0.0673747606424744,0.9399223422921108
32,unvr,unvr_1_100_0_100_32.h5,1,100,0,100,32,30,0.0042665041307046,0.0431315978544182,0.0653184823055819,0.9435335230688808
33,unvr,unvr_1_100_0_100_8.h5,1,100,0,100,8,30,0.0044209144604056,0.0445291785365668,0.0664899575906438,0.9414899278787956
34,unvr,unvr_1_100_0_200_32.h5,1,100,0,200,32,30,0.0041120122210051,0.04190666256196,0.0641249734581242,0.9455781979567616
35,unvr,unvr_1_100_0_200_8.h5,1,100,0,200,8,30,0.0057600123740431,0.0532156332858537,0.0758947453651647,0.923767188340175
36,unvr,unvr_1_200_0_100_8.h5,1,200,0,100,8,7,0.0042400533661882,0.0456952165494834,0.0651156921654699,0.943047978065867
37,unvr,unvr_1_300_0_100_8.h5,1,300,0,100,8,7,0.0047106656969343,0.0531147562617689,0.0686342895128546,0.9376551181582408
38,unvr,unvr_5_100_0_100_8.h5,5,100,0,100,8,7,0.005950617894151,0.0591654928373878,0.0771402482116246,0.9212445557879978
39,unvr,unvr_5_200_0_100_8.h5,5,200,0,100,8,7,0.0050244799865169,0.049198484473955,0.0708835664065864,0.9262878272773378
40,unvr,unvr_5_300_0_100_8.h5,5,300,0,100,8,7,0.004804764800406,0.053801216527747,0.0693164107582472,0.9364097320780576
41,mapi,mapi_1_100_0.2_100_32.h5,1,100,0.2,100,32,30,0.0145024074658175,0.0918919363754555,0.1204259418307265,0.7267548947855005
42,mapi,mapi_1_100_0.2_100_8.h5,1,100,0.2,100,8,30,0.0099527600673666,0.0784835597645573,0.0997635207245945,0.8124764472248986
43,mapi,mapi_1_100_0.2_200_8.h5,1,100,0.2,200,8,30,0.0099894683264122,0.078766456694361,0.099947327760237,0.8117848136372472
44,mapi,mapi_1_100_0_100_32.h5,1,100,0,100,32,30,0.0113181219300774,0.0832054715079809,0.1063866623692906,0.7867511704588417
45,mapi,mapi_1_100_0_100_8.h5,1,100,0,100,8,30,0.0093848242142759,0.0767501872758027,0.0968753023957908,0.8231771320800602
46,mapi,mapi_1_100_0_200_32.h5,1,100,0,200,32,30,0.009874399040548,0.0781305567384887,0.0993700107705942,0.8139528756777767
47,mapi,mapi_1_100_0_200_8.h5,1,100,0,200,8,30,0.009546548885684,0.0773334483480583,0.0977064423960059,0.8201300190432179
48,mapi,mapi_1_200_0_100_8.h5,1,200,0,100,8,30,0.0106037328680268,0.0796686559938476,0.1029744282238403,0.7960965398023182
49,mapi,mapi_1_300_0_100_8.h5,1,300,0,100,8,30,0.0099641782126683,0.0792169565709933,0.0998207303753503,0.8122613138188285
50,mapi,mapi_5_100_0_100_8.h5,5,100,0,100,8,30,0.0109168016590318,0.0801086184828613,0.1044834994582006,0.7943125908605954
51,mapi,mapi_5_200_0_100_8.h5,5,200,0,100,8,7,0.0097734354885119,0.0772107330238858,0.0988606872751347,0.815855166484592
52,mapi,mapi_5_300_0_100_8.h5,5,300,0,100,8,7,0.0102738167495426,0.0802088473656239,0.1013598379514424,0.8064273021358652
53,inkp,inkp_1_100_0.2_100_32.h5,1,100,0.2,100,32,30,0.0092108029360728,0.0691115174702556,0.0959729281416005,0.9120437153015044
54,inkp,inkp_1_100_0.2_100_8.h5,1,100,0.2,100,8,30,0.0078073592930615,0.0649884926174507,0.0883592626330795,0.9253274324474836
55,inkp,inkp_1_100_0.2_200_8.h5,1,100,0.2,200,8,30,0.0088162044750661,0.0694833237254678,0.0938946456144662,0.9150026206157648
56,inkp,inkp_1_100_0_100_32.h5,1,100,0,100,32,30,0.0095370001274917,0.069374847950022,0.0976575656438952,0.9089287758944384
57,inkp,inkp_1_100_0_100_8.h5,1,100,0,100,8,30,0.0088180534760514,0.0682307120299647,0.0939044912453683,0.9157941791384332
58,inkp,inkp_1_100_0_200_32.h5,1,100,0,200,32,7,0.0077895685637033,0.0641421454997796,0.0882585325263416,0.9256154414525274
59,inkp,inkp_1_100_0_200_8.h5,1,100,0,200,8,30,0.0082292992634995,0.0663458868229365,0.0907154852464538,0.9197764765756332
60,inkp,inkp_1_200_0_100_8.h5,1,200,0,100,8,30,0.0087330034843233,0.0677632214628011,0.0934505403104943,0.916606343000581
61,inkp,inkp_1_300_0_100_8.h5,1,300,0,100,8,30,0.0078803735209627,0.0640420068439865,0.0887714679441696,0.9237757656850628
62,inkp,inkp_5_100_0_100_8.h5,5,100,0,100,8,7,0.0092395247291008,0.0684356396351818,0.0961224465413821,0.9107673523383262
63,inkp,inkp_5_200_0_100_8.h5,5,200,0,100,8,7,0.0078811042715769,0.0649712059757313,0.0887755837580187,0.9235365502563716
64,inkp,inkp_5_300_0_100_8.h5,5,300,0,100,8,7,0.0110945224304036,0.0793902709817494,0.1053305389258199,0.894055601856303
65,intp,intp_1_100_0.2_100_32.h5,1,100,0.2,100,32,30,0.0053235109430775,0.0524570218495465,0.0729623940333483,0.9146704975683168
66,intp,intp_1_100_0.2_100_8.h5,1,100,0.2,100,8,30,0.0063282588058349,0.057742663631487,0.0795503539013809,0.8980364558788935
67,intp,intp_1_100_0.2_200_8.h5,1,100,0.2,200,8,30,0.0060191737685298,0.0562885212856665,0.0775833343478472,0.8946295092505546
68,intp,intp_1_100_0_100_32.h5,1,100,0,100,32,30,0.0065051462741203,0.059784772313103,0.0806544870054996,0.8933322116470477
69,intp,intp_1_100_0_100_8.h5,1,100,0,100,8,30,0.0066286900980622,0.0610479191734543,0.0814167679170713,0.893750039421449
70,intp,intp_1_100_0_200_32.h5,1,100,0,200,32,30,0.0073609560806226,0.0646863574833394,0.0857960143632711,0.8820126930333904
71,intp,intp_1_100_0_200_8.h5,1,100,0,200,8,30,0.0061705138876864,0.0590294078500541,0.0785526185921666,0.8939440616562869
72,intp,intp_1_200_0_100_8.h5,1,200,0,100,8,30,0.0054876814489147,0.0528411279965753,0.0740788866608745,0.9120390410489582
73,intp,intp_1_300_0_100_8.h5,1,300,0,100,8,30,0.0055466607057656,0.0525525955375323,0.0744759068811225,0.9110936742234378
74,intp,intp_5_100_0_100_8.h5,5,100,0,100,8,30,0.0062737266646069,0.0598505053961066,0.0792068599592669,0.8943776559659863
75,intp,intp_5_200_0_100_8.h5,5,200,0,100,8,30,0.0062182374671218,0.061311028575329,0.0788558017340628,0.8767914653343029
76,intp,intp_5_300_0_100_8.h5,5,300,0,100,8,7,0.0089552628662499,0.0672996112550906,0.0946322506667254,0.856457865365019
77,aces,aces_1_100_0.2_100_32.h5,1,100,0.2,100,32,30,0.00731821288546,0.062057453877217,0.0855465539075659,0.8841513972097224
78,aces,aces_1_100_0.2_100_8.h5,1,100,0.2,100,8,30,0.0067877968846017,0.0600300254439471,0.0823880870308426,0.8923986461987459
79,aces,aces_1_100_0.2_200_32.h5,1,100,0.2,200,32,7,0.0067842189544165,0.0594134293078384,0.0823663702879796,0.8926046154719005
80,aces,aces_1_100_0.2_200_8.h5,1,100,0.2,200,8,30,0.0070178681933556,0.061360899279972,0.08377271747625,0.8878667272371579
81,aces,aces_1_100_0_100_32.h5,1,100,0,100,32,30,0.0082338820102848,0.0655163675732523,0.0907407406311234,0.8696561932043975
82,aces,aces_1_100_0_100_8.h5,1,100,0,100,8,30,0.0064501064509284,0.0574972584936574,0.0803125547528434,0.8978936754254255
83,aces,aces_1_100_0_200_32.h5,1,100,0,200,32,30,0.0064677408024692,0.0583712222918155,0.0804222655890097,0.8976145205253041
84,aces,aces_1_100_0_200_8.h5,1,100,0,200,8,30,0.0066291363832659,0.0593711741996654,0.0814195086159698,0.8950595999696342
85,aces,aces_1_200_0_100_8.h5,1,200,0,100,8,30,0.0073034033186934,0.0622602337298117,0.0854599515486259,0.8817752744422866
86,aces,aces_1_300_0_100_8.h5,1,300,0,100,8,30,0.0074235146609982,0.0630501796072907,0.0861598204559307,0.8805996693530174
87,aces,aces_5_100_0_100_8.h5,5,100,0,100,8,30,0.0084478958321713,0.067278954392907,0.0919124356775043,0.8662683165968961
88,aces,aces_5_200_0_100_8.h5,5,200,0,100,8,7,0.0061026775506239,0.0554743759605963,0.078119636139859,0.9024810342841476
89,aces,aces_5_300_0_100_8.h5,5,300,0,100,8,7,0.0060914697631233,0.0560340197027415,0.0780478684085823,0.901248597065562
90,sido,sido_1_100_0.2_100_8.h5,1,100,0.2,100,8,30,0.0027488613142739,0.0377557505731997,0.0524295843419907,0.9705439789346852
91,sido,sido_1_100_0.2_200_8.h5,1,100,0.2,200,8,30,0.002935344378439,0.038325732085477,0.0541788185404507,0.9682401737238482
92,sido,sido_1_100_0_100_8.h5,1,100,0,100,8,30,0.0028146403837969,0.0378687697509343,0.0530531844830911,0.968386563192566
93,sido,sido_1_100_0_200_8.h5,1,100,0,200,8,30,0.0029964599350194,0.0388044166789071,0.0547399299873455,0.9678907820816636
94,sido,sido_1_200_0_100_8.h5,1,200,0,100,8,7,0.0024286375798565,0.0373860342382124,0.0492812091963717,0.9739754059832714
95,sido,sido_1_300_0_100_8.h5,1,300,0,100,8,7,0.0026532022726832,0.0363255591566218,0.0515092445361343,0.971569034192857
96,sido,sido_5_100_0_100_8.h5,5,100,0,100,8,7,0.0027762155181821,0.03960103499091,0.0526898046891627,0.9692682484977084
97,sido,sido_5_200_0_100_8.h5,5,200,0,100,8,7,0.0034006917323118,0.0415059449389734,0.0583154502024281,0.9635591483704664
98,sido,sido_5_300_0_100_8.h5,5,300,0,100,8,7,0.0029048684636192,0.041496558363093,0.0538968316658714,0.9688722504070963
99,hrum,hrum_1_100_0_100_8.h5,1,100,0,100,8,7,0.0076809886439489,0.0650403678347165,0.0876412496713104,0.8490130224216966
100,hrum,hrum_1_200_0_100_8.h5,1,200,0,100,8,7,0.0085421375940473,0.0721877377853879,0.0924236852438128,0.8219806834330579
101,hrum,hrum_1_300_0_100_8.h5,1,300,0,100,8,7,0.0095653764208342,0.074388662593443,0.0978027423993533,0.8068876696558446
102,hrum,hrum_5_100_0_100_8.h5,5,100,0,100,8,7,0.0617296251386148,0.2047763344824104,0.2484544729696264,-0.2134335772080102
103,hrum,hrum_5_200_0_100_8.h5,5,200,0,100,8,7,0.0486155315547968,0.1821844582832238,0.2204893003181716,0.0443532059373553
104,hrum,hrum_5_300_0_100_8.h5,5,300,0,100,8,7,0.088485468268297,0.2374528286459863,0.297465070669309,-0.739379399285542
